Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
8.595702751078854,0.8583337221143779,0.1324032022157961,4.240685053498638,0.15447222534787655,37999.99999999995,-103.43201233610546,0.033787050561892365
3.97239104343707,1.4754543130965172,0.0627823683865485,4.568319829609203,0.458336989550658,37999.999999999985,-103.43248891585067,0.039450365514074326
3.8101164153517195,1.4169202922421977,0.05830743362099308,4.361346435428261,0.46633751926507283,37999.99999999996,-103.4333879069211,0.05561704835483255
11.8443030110534,0.747406527240411,0.18484827215395752,4.143342549771286,0.103711443147637,38000.00000000002,-103.43409650314142,0.04539844302677315
9.610939728806597,0.8284138256001571,0.1468936818460238,4.320611496104605,0.136234913000622,38000.000000000015,-103.43435725580004,0.04422554066434388
2.721523435273085,2.062993220417462,0.043671199171751704,4.542227485845464,0.8277312061989687,37999.99999999999,-103.43539985240255,0.04730181698522432
6.7775129225388255,1.0155937478339472,0.10360627442655587,4.422163416128559,0.21472642068525882,38000.00000000001,-103.43571026963953,0.04015639968302357
4.484425986451003,1.337489116439194,0.06909274400126596,4.691710150451729,0.3813117807109278,37999.99999999998,-103.43592298434203,0.03862290796236123
9.998928068678508,0.9494100306677656,0.15398690812228702,4.659964768289004,0.13975314812969994,37999.99999999997,-103.43629461691039,0.05547580686600677
11.22733666527557,0.8023732056946452,0.17336730250835866,4.440080090497935,0.11355090043489548,37999.99999999998,-103.43655325202838,0.05671060071143747
6.089198644558101,1.0441616333581953,0.0959094545459325,4.174832659313005,0.2440528839045295,38000.000000000044,-103.43828049481984,0.050838669387729386
3.3279187395297414,1.6246141837594208,0.05159826900190529,4.782690359510886,0.5859814771697607,37999.999999999985,-103.43828207189856,0.04816867882820872
6.044910120577025,0.9261983756762667,0.09411840148154882,4.250029827486184,0.22709552596648624,38000.00000000001,-103.44096868536974,0.041205546330551596
4.300364858881632,1.3561500757829297,0.06596946620859505,4.777991852982916,0.39938654065557366,38000.000000000015,-103.44121562376678,0.046025858218191065
3.383325897653029,1.8487891831613086,0.05364792478623852,4.665595235146213,0.6198370506089226,38000.00000000002,-103.44158023323591,0.04689205621610931
7.147884030378349,0.9982555346903433,0.11088354389399384,4.910150300653156,0.202483849634528,37999.99999999998,-103.44210556110747,0.04289150160657311
5.791697449788495,1.225264118386392,0.089718024104396,4.250454862004414,0.28119054219813105,37999.99999999996,-103.44299542179002,0.0487820009539071
5.598593816461743,1.3245992909149347,0.09054651496325755,4.9523575434719636,0.3031221081063599,37999.99999999997,-103.4432180814751,0.0417208889609175
5.772701559151463,0.9997418306054474,0.09218131898623085,4.169750248885885,0.24852233682759806,38000.00000000003,-103.44352669547324,0.03472893271211268
8.50940376920961,0.9673417926987987,0.13219742956109692,4.021279058961418,0.16454738961462395,38000.00000000002,-103.44389622561467,0.03170684011836814
11.151676697472444,0.8437628878797773,0.17119738531306675,4.397653568463777,0.11837176722902096,38000.00000000002,-103.44442971761141,0.046851191795606935
4.24155580615284,1.3558286739825829,0.06623628041306763,5.302224131917759,0.40743552299048097,38000.000000000015,-103.44750783619033,0.04342132565441981
9.62600401450536,0.8664017011999372,0.15103021901860628,4.426181338963981,0.13808808593616087,38000.000000000015,-103.44774382273783,0.04462199784348168
8.176845289900475,0.997957059034137,0.1266315270311717,4.610375656034607,0.1764196821812349,37999.99999999998,-103.4479673194913,0.04550093713271025
4.903620464398808,1.1801407136265964,0.07616163078380865,4.76587759083293,0.3251138074712309,38000.00000000003,-103.44853489206436,0.030590562948576466
8.884023395100419,0.8090217537792989,0.1370747619646087,4.245276934570287,0.145954322702122,38000.00000000008,-103.44864464093182,0.05006756404980329
2.725401431872736,1.9266800498419667,0.043124321395399734,4.5570469593592895,0.7914523974535315,38000.00000000001,-103.44961176419244,0.024639076972171516
4.546267162616759,1.3645506824306919,0.06943368467622513,5.367478824198742,0.3835250697072911,38000.00000000004,-103.45002608427644,0.03443106142434059
3.1217331183314974,1.6942430549705407,0.04791101918740937,4.6180847930728595,0.6367755866239743,38000.000000000015,-103.45138565565657,0.0361119069026096
3.918577342594924,1.560987550244131,0.058916259353411486,5.131188297288844,0.48714197155477146,38000.00000000001,-103.45195844655564,0.030125977605833514
7.6599409351978744,0.9744805668589436,0.11894174137203757,4.195694264460499,0.18435633008488383,37999.99999999996,-103.45249796384607,0.03721487528175426
7.863568728710027,1.0389893532466932,0.12250470613554743,4.22932219694418,0.18669335909952087,38000.000000000015,-103.45292837359827,0.04287513937500367
3.4314567799617595,1.7939211362938756,0.05417800272230636,4.701011504573667,0.6001543647183157,38000.000000000015,-103.45338671300475,0.039353799177311875
8.676381446977992,0.8939149506331959,0.13427739315844844,4.220327485093785,0.15621885214880082,38000.00000000001,-103.45392151992485,0.05378095904984851
5.162041094416923,1.2915743073459445,0.08012863527800564,4.539048207987265,0.3272282496804715,38000.00000000003,-103.45513453443165,0.04805930591943449
7.584777774087591,0.8961500621578106,0.1204094090965768,4.329590656830916,0.17816886490914868,37999.999999999956,-103.45571638094424,0.040682202093047175
3.5581809656440084,1.5064174801788475,0.056959609437780105,4.939902906928658,0.5185183138318417,38000.000000000015,-103.45701754154659,0.029204665864802453
4.245928081609548,1.310501541607889,0.06418863396773677,4.69676028457332,0.3991167655491927,37999.999999999985,-103.45719492213476,0.04160080919455675
5.224514992024387,1.3831327477924156,0.08117545286937754,4.058162157722884,0.33637681687866683,38000.00000000001,-103.45824560142799,0.06439574017127873
2.8990815010258655,1.8135317693674666,0.045844584114756164,4.530213158829622,0.7130729416938794,38000.000000000015,-103.45861563890583,0.046059204261423285
5.923011040004158,1.1093796308201886,0.09322449269040946,4.025365253569249,0.257501625292035,37999.99999999996,-103.45874582691808,0.05608726453253518
7.300018211881478,1.0189176064068044,0.11360376834408314,4.871927283327535,0.19996391924168652,37999.999999999956,-103.45881572133457,0.03830062696772601
8.864269289784328,0.9935864753841146,0.1364944755260752,4.9411404118226,0.161474463027618,38000,-103.46014004973357,0.04100044414882538
3.8916003849674827,1.3196400679658769,0.05986258133717326,4.281493377432064,0.435201338666047,38000,-103.46059306409875,0.04212560292064229
11.093730400285834,0.7721078061487294,0.17449779923598366,4.04527134277831,0.11263861928713809,38000,-103.46196497746072,0.03959708026088836
2.397210477842278,2.1291338761145884,0.03723497736022563,4.8855688231200505,0.9711126352561525,38000.00000000002,-103.46212999287634,0.03762695794142674
5.185191545608383,1.2890759171017392,0.08481202793290486,5.051898111712533,0.3222291330814125,38000.00000000001,-103.46282918292272,0.03206441240395425
7.9385157124222845,0.9326717224368295,0.12244953850694416,4.476711848993697,0.1759033417629254,37999.999999999985,-103.46305799473173,0.066461072471924107
8.89030843496269,0.9376313008747437,0.13275463070742533,4.161482653842334,0.15755316562751012,37999.99999999997,-103.46386641464412,0.039799975929448325
5.106161552756646,1.119719327757862,0.07870464658723032,4.291880138842512,0.3032052342316242,38000.00000000001,-103.46418151209207,0.03389138273902052
3.2509670616754973,1.8995885893862852,0.04968348336562621,4.964662446231661,0.666075678515256,37999.99999999997,-103.46557282514942,0.025109761612587468
6.648640666932318,1.0459613900216924,0.1054627665124346,4.444550914926632,0.22286748190761016,38000.00000000003,-103.46621186668142,0.030606540431403234
2.9298004163677978,1.5911586988728235,0.04469107292155213,5.055462489470681,0.6522057959016826,38000.000000000015,-103.46634001496258,0.045212963169534964
10.24823465635852,0.8738501194107227,0.16130220374949333,4.857395415835457,0.13015145375456094,38000.00000000001,-103.46650022110033,0.04705649199875486
7.0824391828238955,0.9719560378504724,0.11137141849339065,4.410633170531578,0.19970284963054058,37999.99999999995,-103.46759056535714,0.049724051408211976
8.793916395460954,0.9207257117845591,0.13532334188204556,4.747893749063938,0.155863200246146,37999.99999999997,-103.4677538407688,0.03997480983708073
10.802935796202393,0.8027521793861095,0.1665508585776358,4.830354747206155,0.11883996958997815,38000.00000000001,-103.46807322974522,0.05275510486489028
5.394573978532785,1.1774942708132528,0.08330664105819643,4.984518959764285,0.2942090062379413,38000.00000000004,-103.46808390878918,0.029590689871989134
6.785991376600167,0.8890315519892475,0.10354881710088448,4.426455460952609,0.197259988903025,38000.00000000008,-103.46866962033087,0.05710443475563794
3.684216200284909,1.348146879636477,0.05853973957926271,4.246715836541565,0.46736822304002573,37999.99999999996,-103.46893841923895,0.04669281075547911
7.054923223704337,0.8840595786602277,0.10835991029150807,4.058674709304078,0.18883236582530957,38000.00000000002,-103.46909215547227,0.03412843657440514
