Beta,Sigma,Gamma,Rho,k,Eta,N,loglik,loglik.se
20.62256184734564,2.5376307782984675,1.5000000000000013,0.1999999999999894,10.000000000000025,0.10580598149564154,37999.999999999956,-103.63565667354726,0.018062128371387324
19.357882085461146,3.281136101803384,1.5000000000000009,0.1999999999999894,10.00000000000003,0.10974642135663518,37999.99999999994,-103.63576849065106,0.020997015100204106
20.84495642415835,2.8988358355706985,1.4730761387444715,0.19999999999998955,10.000000000000028,0.10419072444451034,37999.99999999993,-103.63614027074976,0.02917542826651472
20.6052195364848,2.850148992886238,1.5490129114201034,0.1999999999999896,10.000000000000028,0.10775837611292673,37999.999999999935,-103.63899057955476,0.07909696506561813
18.809643242126455,2.866627884825569,2,0.1659185994690214,10.000000000000009,0.14024841352055387,38000.00000000006,-103.6393371246424,0.03373737243231073
22.085552644372964,2.3226569400008272,1.6028979311717784,0.19999999999998944,10.000000000000028,0.10562990711401173,37999.99999999993,-103.63947940727508,0.02066044688215171
23.389477566340236,2.3115110509398757,1.730356762902998,0.1999999999999896,10.000000000000032,0.10608971873034406,37999.99999999991,-103.63951668620128,0.03960093038717938
20.303131222659676,3.050594633604057,1.4850600429984666,0.1999999999999895,10.000000000000034,0.10595274438375538,37999.99999999993,-103.6398256004098,0.046117907336251
18.73759054338328,2.570130302962693,2,0.15886428767274338,10.000000000000004,0.1427814084296068,38000.00000000015,-103.6402600723531,0.02506163256389196
18.561090158189003,3.305465213989101,1.224609501992303,0.19999999999998985,10.000000000000036,0.10069826222745051,37999.99999999994,-103.64075190580978,0.02326343144003718
19.18525882837167,2.9725134054166906,1.4000000000000932,0.19999999999998946,10.000000000000032,0.107267259105897,37999.99999999994,-103.64121318413653,0.030396389142948108
18.95718259342847,3.4868294710158674,1.414812865688276,0.19999999999998952,10.000000000000025,0.10834252063907128,37999.99999999995,-103.64214879928502,0.03306974640555053
18.270496943574795,3.742762888298711,1.400000000000093,0.19999999999998924,10.000000000000028,0.10968651809409309,37999.999999999905,-103.64223201248676,0.030310893331301946
23.747661517551602,2.391174660915547,1.8000000000001752,0.19999999999998927,10.000000000000021,0.1067530713661066,37999.999999999956,-103.64279561735356,0.046294551671877585
